,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),TOT-RF (mm)
4900,10-Jan-2022 - 04:00,10-Jan-2022 - 05:00,41.65,47.7,14.79,,99.96,0.39,181.79,749.73,0.0,3.04,5.17,4.7,9.88,24.86,1.15,3.99,0.0,,,,,,0.0
4901,10-Jan-2022 - 05:00,10-Jan-2022 - 06:00,33.35,43.95,15.12,,99.88,0.26,196.46,749.98,0.0,2.91,4.79,3.35,8.14,23.38,1.13,3.96,0.0,,,,,,0.0
4902,10-Jan-2022 - 06:00,10-Jan-2022 - 07:00,33.1,41.1,14.89,,99.81,0.28,209.04,750.0,0.0,2.98,4.47,2.46,6.92,27.53,1.1,1.75,0.0,,,,,,0.0
4903,10-Jan-2022 - 07:00,10-Jan-2022 - 08:00,30.0,37.8,14.75,18.79,99.82,0.23,207.05,750.0,0.0,3.03,4.01,1.82,5.83,24.87,1.01,0.88,0.0,,,,,,0.0
4904,10-Jan-2022 - 08:00,10-Jan-2022 - 09:00,25.6,37.1,15.69,54.09,99.72,0.29,247.05,750.0,0.0,2.9,4.31,2.42,6.73,23.89,0.99,2.83,0.0,,,,,,0.0
4905,10-Jan-2022 - 09:00,10-Jan-2022 - 10:00,36.45,47.9,16.64,118.71,99.51,0.27,196.78,750.0,0.0,2.91,3.65,3.23,6.88,22.69,0.94,5.75,0.0,,,,,,0.0
4906,10-Jan-2022 - 10:00,10-Jan-2022 - 11:00,32.8,44.95,18.97,318.12,91.28,0.38,182.45,750.0,0.0,3.06,2.85,3.82,6.67,21.57,0.83,12.71,0.0,,,,,,0.0
4907,10-Jan-2022 - 11:00,10-Jan-2022 - 12:00,32.75,40.05,21.28,211.63,79.55,0.37,170.54,750.0,0.0,3.73,2.72,4.19,6.9,45.41,0.67,19.79,0.0,,,,,,0.0
4908,10-Jan-2022 - 12:00,10-Jan-2022 - 13:00,37.55,39.15,21.6,201.43,77.18,0.42,218.39,750.0,0.0,5.08,3.32,4.98,8.3,66.37,0.71,20.68,0.0,,,,,,0.0
4909,10-Jan-2022 - 13:00,10-Jan-2022 - 14:00,37.05,42.65,23.28,226.39,69.3,0.39,176.38,750.0,0.0,6.15,3.29,5.5,8.79,75.65,0.62,26.52,0.0,,,,,,0.0
4910,10-Jan-2022 - 14:00,10-Jan-2022 - 15:00,28.45,38.95,22.58,145.72,67.18,0.41,224.48,750.0,0.0,5.6,2.76,5.33,8.09,56.4,0.63,22.74,0.0,,,,,,0.0
4911,10-Jan-2022 - 15:00,10-Jan-2022 - 16:00,26.45,33.8,21.27,77.31,76.68,0.23,148.35,750.0,0.0,6.29,4.0,5.91,9.92,126.5,0.71,11.96,0.0,,,,,,0.0
4912,10-Jan-2022 - 16:00,10-Jan-2022 - 17:00,27.65,36.4,19.72,23.75,83.98,0.18,156.74,750.0,0.0,7.91,5.98,5.92,11.9,186.8,0.78,6.34,0.0,,,,,,0.0
4913,10-Jan-2022 - 17:00,10-Jan-2022 - 18:00,29.3,37.8,17.86,4.4,89.48,0.2,177.36,750.0,0.0,6.98,4.14,6.04,10.18,95.29,0.68,7.84,0.0,,,,,,0.0
4914,10-Jan-2022 - 18:00,10-Jan-2022 - 19:00,39.1,46.3,16.84,,94.21,0.12,150.52,750.0,0.0,3.7,2.91,4.45,7.36,33.42,0.66,2.04,0.0,,,,,,0.0
4915,10-Jan-2022 - 19:00,10-Jan-2022 - 20:00,35.55,45.6,17.0,,95.27,0.14,167.08,750.0,0.0,3.13,3.63,4.46,8.1,40.7,0.74,1.91,0.0,,,,,,0.0
4916,10-Jan-2022 - 20:00,10-Jan-2022 - 21:00,44.45,54.85,17.32,,93.45,0.4,242.24,750.0,0.0,3.13,3.7,5.1,8.8,42.24,0.76,7.22,0.0,,,,,,0.0
4917,10-Jan-2022 - 21:00,10-Jan-2022 - 22:00,36.95,43.7,17.28,,93.15,0.36,246.83,750.0,0.0,3.07,3.97,4.43,8.4,44.81,0.76,5.9,0.0,,,,,,0.0
4918,10-Jan-2022 - 22:00,10-Jan-2022 - 23:00,32.4,37.05,17.0,,93.33,0.36,242.97,750.0,0.0,3.16,4.17,4.61,8.77,48.86,0.77,4.81,0.0,,,,,,0.0
4919,10-Jan-2022 - 23:00,11-Jan-2022 - 00:00,26.45,35.65,16.17,,94.36,0.21,201.12,750.0,0.0,3.11,4.19,3.74,7.93,51.79,0.78,2.63,0.0,,,,,,0.0
4920,11-Jan-2022 - 00:00,11-Jan-2022 - 01:00,26.5,31.89,15.45,,96.83,0.2,182.54,750.0,0.0,2.97,4.2,3.16,7.35,48.78,0.77,1.17,0.0,,,,,,0.0
4921,11-Jan-2022 - 01:00,11-Jan-2022 - 02:00,24.8,30.2,14.54,,97.68,0.2,188.44,750.0,0.0,2.91,4.49,2.25,6.73,45.7,0.75,0.99,0.0,,,,,,0.0
4922,11-Jan-2022 - 02:00,11-Jan-2022 - 03:00,20.0,27.7,14.08,,98.48,0.27,206.62,750.0,0.0,2.82,4.66,1.85,6.51,43.8,0.72,0.86,0.0,,,,,,0.0
4923,11-Jan-2022 - 03:00,11-Jan-2022 - 04:00,24.6,26.85,14.15,,98.92,0.25,178.73,750.0,0.0,2.81,4.58,2.04,6.62,38.59,0.71,0.94,0.0,,,,,,0.0
4924,11-Jan-2022 - 04:00,11-Jan-2022 - 05:00,26.85,30.9,14.5,,99.24,0.46,252.17,750.0,0.0,2.71,3.97,3.73,7.7,34.79,0.65,4.06,0.0,,,,,,0.0
4925,11-Jan-2022 - 05:00,11-Jan-2022 - 06:00,25.25,33.95,14.24,,99.12,0.41,254.91,750.0,0.0,2.65,3.64,3.42,7.06,34.02,0.67,3.86,0.0,,,,,,0.0
4926,11-Jan-2022 - 06:00,11-Jan-2022 - 07:00,26.95,36.65,14.28,,99.13,0.3,215.53,750.0,0.0,2.86,3.53,3.77,7.29,42.76,0.69,2.61,0.0,,,,,,0.0
4927,11-Jan-2022 - 07:00,11-Jan-2022 - 08:00,29.95,37.3,14.26,4.23,98.94,0.39,242.42,750.0,0.0,3.04,3.43,3.67,7.1,39.31,0.7,3.7,0.0,,,,,,0.0
4928,11-Jan-2022 - 08:00,11-Jan-2022 - 09:00,32.25,37.55,14.68,49.78,98.7,0.41,222.75,750.0,0.0,2.94,3.48,4.08,7.56,37.93,0.71,4.01,0.0,,,,,,0.0
4929,11-Jan-2022 - 09:00,11-Jan-2022 - 10:00,34.0,42.65,15.79,102.66,94.29,0.38,193.86,750.0,0.0,2.9,3.52,4.8,8.32,36.28,0.73,5.78,0.0,,,,,,0.0
