,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),Temp (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene,MP-Xylene,O Xylene,Toluene (ug/m3),VWS (m/s),TOT-RF (mm)
186,28-Jul-2019 - 18:00,28-Jul-2019 - 19:00,,,,,,,,,,,,,,,,,,,,,,,0.0
187,28-Jul-2019 - 19:00,28-Jul-2019 - 20:00,,,,,,,,,,,,,,,,,,,,,,,0.0
188,28-Jul-2019 - 20:00,28-Jul-2019 - 21:00,,,,,,,,,,,,,,,,,,,,,,,0.0
189,28-Jul-2019 - 21:00,28-Jul-2019 - 22:00,,,,,,,,,,,,,,,,,,,,,,,0.0
190,28-Jul-2019 - 22:00,28-Jul-2019 - 23:00,,,,,,,,,,,,,,,,,,,,,,,0.0
191,28-Jul-2019 - 23:00,29-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,0.0
192,29-Jul-2019 - 00:00,29-Jul-2019 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
193,29-Jul-2019 - 01:00,29-Jul-2019 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
194,29-Jul-2019 - 02:00,29-Jul-2019 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
195,29-Jul-2019 - 03:00,29-Jul-2019 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
196,29-Jul-2019 - 04:00,29-Jul-2019 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
197,29-Jul-2019 - 05:00,29-Jul-2019 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
198,29-Jul-2019 - 06:00,29-Jul-2019 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
199,29-Jul-2019 - 07:00,29-Jul-2019 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
200,29-Jul-2019 - 08:00,29-Jul-2019 - 09:00,,,,,,,,,,,,,,,,,,,,,,,0.0
201,29-Jul-2019 - 09:00,29-Jul-2019 - 10:00,,,,,,,,,,,,,,,,,,,,,,,0.0
202,29-Jul-2019 - 10:00,29-Jul-2019 - 11:00,,,,,,,,,,,,,,,,,,,,,,,0.0
